i value
0.000 200.000
0.400 200.000
0.783 200.000
1.167 200.000
1.567 200.000
1.950 200.000
2.333 200.000
2.700 200.000
3.100 200.000
3.567 200.000
4.117 200.000
4.500 200.000
4.883 200.000
5.250 200.000
5.533 200.000
5.900 200.000
6.283 200.000
6.650 200.000
7.033 200.000
7.433 200.000
8.050 200.000
8.450 200.000
8.850 200.000
9.133 200.000
9.517 200.000
9.917 200.000
10.300 200.000
10.700 200.000
11.100 200.000
11.517 200.000
11.967 200.000
12.350 200.000
12.817 200.000
13.250 200.000
13.767 200.000
