i value
0.000 400.000
0.583 400.000
0.983 400.000
1.367 400.000
1.750 400.000
2.150 400.000
2.533 400.000
2.917 400.000
3.300 400.000
3.683 400.000
4.150 400.000
4.700 400.000
5.083 400.000
5.467 400.000
5.833 400.000
6.200 400.000
6.583 400.000
6.950 400.000
7.333 400.000
7.733 400.000
8.333 400.000
8.950 400.000
9.350 400.000
9.717 400.000
10.100 400.000
10.500 400.000
10.883 400.000
11.300 400.000
11.683 400.000
12.117 400.000
12.550 400.000
12.933 400.000
13.400 400.000
13.833 400.000
14.367 400.000
