i value
0.000 243.781
0.583 251.834
0.983 246.979
1.367 248.939
1.750 245.257
2.150 244.593
2.533 240.036
2.917 243.132
3.300 245.736
3.683 247.090
4.150 239.981
4.700 245.936
5.083 249.389
5.467 245.990
5.833 244.384
6.200 245.900
6.583 245.659
6.950 249.139
7.333 247.951
7.733 243.495
8.333 195.000
8.950 225.209
9.350 244.221
9.717 250.399
10.100 244.791
10.500 245.517
10.883 244.746
11.300 237.965
11.683 251.320
12.117 245.391
12.550 248.259
12.933 246.545
13.400 249.511
13.833 244.101
14.367 246.438
