i value
0.000 40.000
0.383 40.000
0.783 40.000
1.167 40.000
1.550 40.000
1.950 40.000
2.333 40.000
2.717 40.000
3.100 40.000
3.483 40.000
3.850 40.000
4.417 40.000
4.783 40.000
5.183 40.000
5.550 40.000
5.933 40.000
6.300 40.000
6.667 40.000
7.050 40.000
7.417 40.000
7.833 40.000
8.317 40.000
8.933 40.000
9.350 40.000
9.717 40.000
10.100 40.000
10.500 40.000
10.883 40.000
11.283 40.000
11.683 40.000
12.100 40.000
12.550 40.000
12.933 40.000
13.400 40.000
13.833 40.000
14.317 40.000
14.700 40.000
15.067 40.000
