i value
0.000 4000.000
0.500 4000.000
0.900 4000.000
1.283 4000.000
1.667 4000.000
2.067 4000.000
2.450 4000.000
2.833 4000.000
3.217 4000.000
3.600 4000.000
4.067 4000.000
4.617 4000.000
5.000 4000.000
5.383 4000.000
5.750 4000.000
6.117 4000.000
6.483 4000.000
6.867 4000.000
7.250 4000.000
7.650 4000.000
8.017 4000.000
8.650 4000.000
9.050 4000.000
9.450 4000.000
9.833 4000.000
10.217 4000.000
10.600 4000.000
11.017 4000.000
11.400 4000.000
11.783 4000.000
12.250 4000.000
12.667 4000.000
13.050 4000.000
13.517 4000.000
14.000 4000.000
14.433 4000.000
