i value
0.000 6447.970
0.500 963.238
0.900 318.505
1.283 167.649
1.667 134.803
2.067 106.118
2.450 82.175
2.833 75.461
3.217 82.988
3.600 77.971
4.067 123.639
4.617 177.920
5.000 118.412
5.383 88.363
5.750 99.192
6.117 69.931
6.483 60.879
6.867 67.036
7.250 59.481
7.650 70.289
8.017 74.337
8.650 168.005
9.050 229.199
9.450 123.266
9.833 79.080
10.217 85.434
10.600 95.241
11.017 127.793
11.400 99.811
11.783 90.309
12.250 247.628
12.667 99.276
13.050 106.000
13.517 126.833
14.000 159.401
14.433 121.128
