i value
0.000 40.000
0.267 40.000
0.533 40.000
0.950 40.000
1.333 40.000
1.717 40.000
2.083 40.000
2.467 40.000
2.833 40.000
3.217 40.000
3.600 40.000
3.967 40.000
4.333 40.000
4.717 40.000
5.750 40.000
6.233 40.000
6.617 40.000
6.983 40.000
7.967 40.000
8.650 40.000
9.033 40.000
9.400 40.000
9.817 40.000
10.217 40.000
10.667 40.000
11.450 40.000
12.133 40.000
12.633 40.000
12.983 40.000
13.350 40.000
13.700 40.000
14.133 40.000
14.567 40.000
14.950 40.000
15.350 40.000
15.700 40.000
16.067 40.000
